lead_id,user_id,date_created,status,deal_stage,revenue,utm_source,utm_medium,utm_campaign
L-2033,U-2033,2025-03-23,converted,lost,2762.06,facebook,cpc,leads_immobilier
L-2034,U-2034,2025-04-12,lost,won,0.0,facebook,cpc,assurance_santé
L-2035,U-2035,2025-03-28,open,lost,0.0,google,cpc,promo_printemps
L-2036,U-2036,2025-04-09,open,proposal,0.0,google,cpc,leads_auto
L-2037,U-2037,2025-04-06,converted,contacted,1806.021,google,cpc,offre_hiver
L-2038,U-2038,2025-04-10,converted,won,1369.5919999999999,google,cpc,pack_famille
L-2039,U-2039,2025-04-02,open,proposal,0.0,google,cpc,pack_famille
L-2040,U-2040,2025-04-07,lost,won,0.0,facebook,cpc,assurance_santé
L-2041,U-2041,2025-04-16,lost,won,0.0,facebook,cpc,protection_habitation
L-2042,U-2042,2025-03-22,converted,lost,2865.961,google,cpc,offre_hiver
L-2043,U-2043,2025-04-03,converted,lost,3423.0769999999998,facebook,cpc,pack_jeunes
L-2044,U-2044,2025-04-01,converted,lost,499.05099999999993,facebook,cpc,protection_habitation
L-2045,U-2045,2025-03-30,open,proposal,0.0,facebook,cpc,pack_jeunes
L-2046,U-2046,2025-04-08,converted,won,1791.1109999999999,facebook,cpc,protection_habitation
L-2047,U-2047,2025-03-24,converted,contacted,1033.298,facebook,cpc,leads_immobilier
L-2048,U-2048,2025-03-26,converted,won,2357.1169999999997,google,cpc,pack_famille
L-2049,U-2049,2025-04-03,converted,contacted,1678.341,google,cpc,leads_auto
L-2050,U-2050,2025-03-23,converted,proposal,1341.9419999999998,facebook,cpc,auto_responsable
L-2051,U-2051,2025-03-29,lost,proposal,0.0,email,email,assurance_sante
L-2052,U-2052,2025-03-24,open,proposal,0.0,facebook,cpc,leads_immobilier
L-2053,U-2053,2025-03-26,converted,won,1377.887,google,cpc,promo_printemps
L-2054,U-2054,2025-04-03,open,lost,0.0,google,cpc,rentrée_assurance
L-2055,U-2055,2025-03-28,open,contacted,0.0,google,cpc,offre_hiver
L-2056,U-2056,2025-04-11,converted,lost,2496.053,facebook,cpc,leads_immobilier
L-2057,U-2057,2025-04-10,open,proposal,0.0,google,cpc,pack_famille
L-2058,U-2058,2025-04-11,converted,won,2157.435,google,cpc,pack_famille
L-2059,U-2059,2025-03-20,open,lost,0.0,facebook,cpc,leads_immobilier
L-2060,U-2060,2025-03-18,converted,proposal,770.5809999999999,facebook,cpc,pack_jeunes
L-2061,U-2061,2025-03-20,lost,won,0.0,facebook,cpc,assurance_santé
L-2062,U-2062,2025-04-09,converted,proposal,2137.394,google,cpc,pack_famille
L-2063,U-2063,2025-04-03,converted,proposal,1021.412,google,cpc,promo_printemps
L-2064,U-2064,2025-03-23,open,lost,0.0,facebook,cpc,protection_habitation
L-2065,U-2065,2025-04-04,converted,lost,2750.615,google,cpc,pack_famille
L-2066,U-2066,2025-03-18,converted,contacted,2850.526,google,cpc,pack_famille
L-2067,U-2067,2025-04-03,converted,lost,1317.386,facebook,cpc,assurance_santé
L-2068,U-2068,2025-04-10,converted,contacted,2950.528,google,cpc,pack_famille
L-2069,U-2069,2025-04-11,open,won,0.0,facebook,cpc,protection_habitation
L-2070,U-2070,2025-03-29,open,proposal,0.0,google,cpc,leads_auto
L-2071,U-2071,2025-04-11,open,won,0.0,facebook,cpc,auto_responsable
L-2072,U-2072,2025-04-16,open,contacted,0.0,facebook,cpc,protection_habitation
L-2073,U-2073,2025-04-04,lost,lost,0.0,google,cpc,rentrée_assurance
L-2074,U-2074,2025-04-04,converted,won,1070.482,facebook,cpc,leads_immobilier
L-2075,U-2075,2025-03-24,converted,won,2497.397,facebook,cpc,protection_habitation
L-2076,U-2076,2025-04-14,converted,won,1908.9979999999998,facebook,cpc,assurance_santé
L-2077,U-2077,2025-03-30,converted,proposal,2603.93,facebook,cpc,pack_jeunes
L-2078,U-2078,2025-04-01,converted,lost,584.43,google,cpc,offre_hiver
L-2079,U-2079,2025-04-05,lost,proposal,0.0,facebook,cpc,leads_immobilier
L-2080,U-2080,2025-04-06,converted,lost,3450.216,google,cpc,promo_printemps
L-2081,U-2081,2025-03-24,lost,proposal,0.0,facebook,cpc,pack_jeunes
L-2082,U-2082,2025-04-16,open,contacted,0.0,email,email,assurance_sante
L-2083,U-2083,2025-03-23,converted,won,1220.1699999999998,facebook,cpc,pack_jeunes
L-2084,U-2084,2025-04-06,open,contacted,0.0,facebook,cpc,assurance_santé
L-2085,U-2085,2025-03-25,open,won,0.0,google,cpc,pack_famille
L-2086,U-2086,2025-04-02,lost,proposal,0.0,facebook,cpc,auto_responsable
L-2087,U-2087,2025-04-16,converted,won,267.86899999999997,google,cpc,rentrée_assurance
L-2088,U-2088,2025-03-29,converted,lost,2033.8289999999997,google,cpc,pack_famille
L-2089,U-2089,2025-04-04,open,won,0.0,google,cpc,promo_printemps
L-2090,U-2090,2025-04-15,converted,lost,2232.552,google,cpc,pack_famille
L-2091,U-2091,2025-03-28,open,won,0.0,google,cpc,promo_printemps
L-2092,U-2092,2025-04-09,converted,contacted,2034.522,google,cpc,promo_printemps
L-2093,U-2093,2025-03-17,converted,lost,888.601,google,cpc,pack_famille
L-2094,U-2094,2025-04-11,open,lost,0.0,facebook,cpc,protection_habitation
L-2095,U-2095,2025-04-02,converted,proposal,1774.6679999999997,email,email,assurance_sante
L-2096,U-2096,2025-03-26,converted,won,2062.459,google,cpc,pack_famille
L-2097,U-2097,2025-04-05,lost,lost,0.0,facebook,cpc,leads_immobilier
L-2098,U-2098,2025-04-02,converted,contacted,3090.598,facebook,cpc,assurance_santé
L-2099,U-2099,2025-03-19,converted,proposal,1673.406,facebook,cpc,assurance_santé
L-2100,U-2100,2025-03-24,converted,contacted,2288.377,google,cpc,promo_printemps
L-2101,U-2101,2025-03-29,converted,proposal,2237.095,google,cpc,promo_printemps
L-2102,U-2102,2025-04-01,converted,lost,2219.0559999999996,facebook,cpc,leads_immobilier
L-2103,U-2103,2025-04-05,converted,won,2303.266,facebook,cpc,protection_habitation
L-2104,U-2104,2025-03-19,converted,proposal,2599.086,facebook,cpc,leads_immobilier
L-2105,U-2105,2025-03-24,open,won,0.0,facebook,cpc,assurance_santé
L-2106,U-2106,2025-04-06,lost,contacted,0.0,google,cpc,pack_famille
L-2107,U-2107,2025-04-03,converted,contacted,259.112,email,email,assurance_sante
L-2108,U-2108,2025-04-01,open,lost,0.0,facebook,cpc,assurance_santé
L-2109,U-2109,2025-03-29,open,proposal,0.0,facebook,cpc,protection_habitation
L-2110,U-2110,2025-04-03,open,won,0.0,email,email,assurance_sante
L-2111,U-2111,2025-03-29,converted,lost,336.96599999999995,google,cpc,offre_hiver
L-2112,U-2112,2025-04-10,converted,won,380.597,google,cpc,rentrée_assurance
L-2113,U-2113,2025-04-04,converted,proposal,2807.707,google,cpc,offre_hiver
L-2114,U-2114,2025-04-14,converted,won,3094.364,google,cpc,offre_hiver
L-2115,U-2115,2025-04-08,lost,lost,0.0,facebook,cpc,auto_responsable
L-2116,U-2116,2025-04-10,converted,contacted,1163.316,facebook,cpc,pack_jeunes
L-2117,U-2117,2025-04-08,converted,proposal,2111.942,facebook,cpc,assurance_santé
L-2118,U-2118,2025-04-10,open,lost,0.0,facebook,cpc,auto_responsable
L-2119,U-2119,2025-03-30,open,contacted,0.0,facebook,cpc,auto_responsable
L-2120,U-2120,2025-03-20,open,won,0.0,google,cpc,promo_printemps
L-2121,U-2121,2025-03-25,open,proposal,0.0,google,cpc,leads_auto
L-2122,U-2122,2025-04-06,open,lost,0.0,facebook,cpc,auto_responsable
L-2123,U-2123,2025-03-21,lost,contacted,0.0,facebook,cpc,assurance_santé
L-2124,U-2124,2025-04-13,converted,proposal,1125.0749999999998,facebook,cpc,assurance_santé
L-2125,U-2125,2025-04-06,converted,won,381.584,facebook,cpc,pack_jeunes
L-2126,U-2126,2025-03-20,lost,lost,0.0,google,cpc,pack_famille
L-2127,U-2127,2025-03-25,open,contacted,0.0,google,cpc,promo_printemps
L-2128,U-2128,2025-04-09,converted,won,1714.3559999999998,facebook,cpc,pack_jeunes
L-2129,U-2129,2025-04-08,converted,won,3030.0969999999998,email,email,assurance_sante
L-2130,U-2130,2025-04-13,lost,lost,0.0,google,cpc,pack_famille
L-2131,U-2131,2025-04-06,lost,contacted,0.0,email,email,assurance_sante
L-2132,U-2132,2025-04-08,converted,proposal,3282.944,facebook,cpc,auto_responsable
L-2133,U-2133,2025-04-11,converted,proposal,1923.2079999999999,google,cpc,promo_printemps
L-2134,U-2134,2025-03-25,open,won,0.0,google,cpc,leads_auto
L-2135,U-2135,2025-04-11,lost,won,0.0,google,cpc,rentrée_assurance
L-2136,U-2136,2025-04-13,converted,contacted,1456.511,facebook,cpc,auto_responsable
L-2137,U-2137,2025-04-13,lost,contacted,0.0,email,email,assurance_sante
L-2138,U-2138,2025-03-24,converted,proposal,2015.2789999999998,facebook,cpc,pack_jeunes
L-2139,U-2139,2025-04-15,converted,proposal,1504.51,facebook,cpc,pack_jeunes
L-2140,U-2140,2025-03-17,converted,won,488.649,google,cpc,leads_auto
L-2141,U-2141,2025-04-15,lost,lost,0.0,google,cpc,rentrée_assurance
L-2142,U-2142,2025-04-06,lost,proposal,0.0,facebook,cpc,assurance_santé
L-2143,U-2143,2025-03-19,converted,won,2634.457,google,cpc,leads_auto
L-2144,U-2144,2025-04-02,lost,lost,0.0,facebook,cpc,assurance_santé
L-2145,U-2145,2025-03-29,open,proposal,0.0,facebook,cpc,auto_responsable
L-2146,U-2146,2025-04-05,lost,won,0.0,google,cpc,offre_hiver
L-2147,U-2147,2025-04-11,open,contacted,0.0,facebook,cpc,auto_responsable
L-2148,U-2148,2025-03-29,open,lost,0.0,facebook,cpc,leads_immobilier
L-2149,U-2149,2025-03-27,converted,lost,1816.6399999999996,facebook,cpc,leads_immobilier
L-2150,U-2150,2025-04-14,open,won,0.0,email,email,assurance_sante
L-2151,U-2151,2025-04-10,open,won,0.0,google,cpc,promo_printemps
L-2152,U-2152,2025-04-14,converted,lost,204.652,email,email,assurance_sante
L-2153,U-2153,2025-04-02,converted,lost,2090.41,email,email,assurance_sante
L-2154,U-2154,2025-03-22,converted,lost,2780.225,facebook,cpc,protection_habitation
L-2155,U-2155,2025-04-02,converted,contacted,2314.732,email,email,assurance_sante
L-2156,U-2156,2025-04-01,lost,contacted,0.0,google,cpc,leads_auto
L-2157,U-2157,2025-04-03,converted,won,1462.699,google,cpc,offre_hiver
L-2158,U-2158,2025-03-29,converted,proposal,791.2519999999998,email,email,assurance_sante
L-2159,U-2159,2025-04-11,converted,contacted,3232.6839999999997,google,cpc,leads_auto
L-2160,U-2160,2025-04-03,open,lost,0.0,google,cpc,promo_printemps
L-2161,U-2161,2025-03-19,lost,contacted,0.0,google,cpc,pack_famille
L-2162,U-2162,2025-03-31,converted,won,1878.0159999999998,google,cpc,offre_hiver
L-2163,U-2163,2025-03-23,lost,contacted,0.0,facebook,cpc,leads_immobilier
L-2164,U-2164,2025-04-13,converted,proposal,3297.273,facebook,cpc,assurance_santé
L-2165,U-2165,2025-03-21,lost,won,0.0,facebook,cpc,pack_jeunes
L-2166,U-2166,2025-03-29,lost,proposal,0.0,google,cpc,rentrée_assurance
L-2167,U-2167,2025-03-26,converted,contacted,1992.599,email,email,assurance_sante
L-2168,U-2168,2025-04-04,converted,won,2033.8429999999996,facebook,cpc,protection_habitation
L-2169,U-2169,2025-04-10,converted,lost,2961.77,facebook,cpc,assurance_santé
L-2170,U-2170,2025-04-10,open,contacted,0.0,google,cpc,rentrée_assurance
L-2171,U-2171,2025-04-13,converted,lost,735.3149999999999,facebook,cpc,assurance_santé
L-2172,U-2172,2025-04-15,open,contacted,0.0,facebook,cpc,assurance_santé
L-2173,U-2173,2025-04-04,open,won,0.0,google,cpc,rentrée_assurance
L-2174,U-2174,2025-04-13,converted,contacted,1330.0839999999998,google,cpc,offre_hiver
L-2175,U-2175,2025-03-30,converted,won,731.829,facebook,cpc,auto_responsable
L-2176,U-2176,2025-04-08,lost,proposal,0.0,facebook,cpc,protection_habitation
L-2177,U-2177,2025-04-16,converted,proposal,1449.581,facebook,cpc,assurance_santé
L-2178,U-2178,2025-04-08,lost,won,0.0,google,cpc,pack_famille
L-2179,U-2179,2025-03-24,converted,lost,2030.147,email,email,assurance_sante
L-2180,U-2180,2025-03-17,lost,lost,0.0,facebook,cpc,leads_immobilier
L-2181,U-2181,2025-04-05,converted,proposal,688.8419999999999,google,cpc,leads_auto
L-2182,U-2182,2025-03-29,converted,contacted,769.804,facebook,cpc,protection_habitation
L-2183,U-2183,2025-03-28,open,contacted,0.0,facebook,cpc,leads_immobilier
L-2184,U-2184,2025-04-06,converted,lost,858.998,facebook,cpc,assurance_santé
L-2185,U-2185,2025-04-13,open,contacted,0.0,facebook,cpc,pack_jeunes
L-2186,U-2186,2025-03-23,converted,won,406.90999999999997,facebook,cpc,assurance_santé
L-2187,U-2187,2025-04-09,converted,proposal,1729.8329999999999,google,cpc,promo_printemps
L-2188,U-2188,2025-04-11,lost,contacted,0.0,google,cpc,offre_hiver
L-2189,U-2189,2025-03-23,open,proposal,0.0,google,cpc,promo_printemps
L-2190,U-2190,2025-04-13,converted,won,3290.6649999999995,google,cpc,leads_auto
L-2191,U-2191,2025-03-28,converted,lost,347.193,google,cpc,leads_auto
L-2192,U-2192,2025-04-01,lost,won,0.0,google,cpc,offre_hiver
L-2193,U-2193,2025-04-01,open,won,0.0,facebook,cpc,leads_immobilier
L-2194,U-2194,2025-04-03,open,proposal,0.0,google,cpc,offre_hiver
L-2195,U-2195,2025-03-24,converted,contacted,2916.8089999999997,facebook,cpc,pack_jeunes
L-2196,U-2196,2025-04-05,converted,lost,2609.474,google,cpc,promo_printemps
L-2197,U-2197,2025-03-23,converted,won,470.638,facebook,cpc,auto_responsable
L-2198,U-2198,2025-04-07,lost,proposal,0.0,google,cpc,pack_famille
L-2199,U-2199,2025-04-09,converted,lost,450.436,google,cpc,leads_auto
L-2200,U-2200,2025-03-17,lost,lost,0.0,facebook,cpc,pack_jeunes
L-2201,U-2201,2025-04-14,converted,proposal,1957.5429999999997,google,cpc,offre_hiver
L-2202,U-2202,2025-03-22,converted,proposal,2340.961,facebook,cpc,leads_immobilier
L-2203,U-2203,2025-03-29,open,proposal,0.0,google,cpc,offre_hiver
L-2204,U-2204,2025-04-06,converted,proposal,3118.374,google,cpc,rentrée_assurance
L-2205,U-2205,2025-03-22,lost,contacted,0.0,facebook,cpc,auto_responsable
L-2206,U-2206,2025-04-06,converted,won,1436.1059999999998,google,cpc,leads_auto
L-2207,U-2207,2025-03-25,converted,lost,725.865,google,cpc,promo_printemps
L-2208,U-2208,2025-04-13,open,contacted,0.0,facebook,cpc,assurance_santé
L-2209,U-2209,2025-04-01,converted,proposal,1670.0179999999998,google,cpc,pack_famille
L-2210,U-2210,2025-04-15,lost,lost,0.0,google,cpc,rentrée_assurance
L-2211,U-2211,2025-04-15,lost,contacted,0.0,facebook,cpc,auto_responsable
L-2212,U-2212,2025-04-03,converted,proposal,2853.2419999999997,google,cpc,leads_auto
L-2213,U-2213,2025-03-30,converted,contacted,2165.2119999999995,email,email,assurance_sante
L-2214,U-2214,2025-03-26,open,won,0.0,google,cpc,promo_printemps
L-2215,U-2215,2025-04-04,converted,won,3021.585,google,cpc,promo_printemps
L-2216,U-2216,2025-04-12,open,proposal,0.0,facebook,cpc,protection_habitation
L-2217,U-2217,2025-03-29,open,proposal,0.0,facebook,cpc,protection_habitation
L-2218,U-2218,2025-03-23,lost,won,0.0,facebook,cpc,auto_responsable
L-2219,U-2219,2025-03-31,converted,proposal,2881.592,google,cpc,offre_hiver
L-2220,U-2220,2025-04-11,converted,won,1378.1879999999999,google,cpc,promo_printemps
L-2221,U-2221,2025-04-11,converted,won,3219.37,google,cpc,pack_famille
L-2222,U-2222,2025-03-21,converted,contacted,2841.433,facebook,cpc,auto_responsable
L-2223,U-2223,2025-03-17,converted,lost,3416.3359999999993,facebook,cpc,leads_immobilier
L-2224,U-2224,2025-04-05,converted,proposal,2185.435,google,cpc,offre_hiver
L-2225,U-2225,2025-04-05,lost,won,0.0,facebook,cpc,auto_responsable
L-2226,U-2226,2025-03-24,converted,won,3134.957,facebook,cpc,pack_jeunes
L-2227,U-2227,2025-03-25,lost,lost,0.0,google,cpc,leads_auto
L-2228,U-2228,2025-04-04,lost,lost,0.0,facebook,cpc,protection_habitation
L-2229,U-2229,2025-03-22,open,lost,0.0,facebook,cpc,assurance_santé
L-2230,U-2230,2025-03-21,converted,won,2315.8309999999997,google,cpc,offre_hiver
L-2231,U-2231,2025-04-07,open,lost,0.0,facebook,cpc,auto_responsable
L-2232,U-2232,2025-03-21,open,won,0.0,email,email,assurance_sante
L-2233,U-2233,2025-04-12,open,lost,0.0,facebook,cpc,auto_responsable
L-2234,U-2234,2025-04-04,lost,lost,0.0,facebook,cpc,assurance_santé
L-2235,U-2235,2025-04-05,open,proposal,0.0,facebook,cpc,pack_jeunes
L-2236,U-2236,2025-03-25,converted,proposal,776.853,facebook,cpc,leads_immobilier
L-2237,U-2237,2025-04-12,lost,lost,0.0,google,cpc,pack_famille
L-2238,U-2238,2025-04-08,converted,won,353.185,facebook,cpc,auto_responsable
L-2239,U-2239,2025-04-09,open,contacted,0.0,google,cpc,promo_printemps
L-2240,U-2240,2025-03-22,open,contacted,0.0,google,cpc,leads_auto
L-2241,U-2241,2025-04-07,converted,contacted,2328.13,google,cpc,rentrée_assurance
L-2242,U-2242,2025-04-03,converted,lost,696.8639999999999,facebook,cpc,leads_immobilier
L-2243,U-2243,2025-03-22,lost,proposal,0.0,google,cpc,pack_famille
L-2244,U-2244,2025-03-20,lost,proposal,0.0,google,cpc,offre_hiver
L-2245,U-2245,2025-04-11,open,contacted,0.0,google,cpc,rentrée_assurance
L-2246,U-2246,2025-03-23,converted,contacted,2297.491,facebook,cpc,assurance_santé
L-2247,U-2247,2025-03-19,lost,contacted,0.0,google,cpc,leads_auto
L-2248,U-2248,2025-03-24,converted,lost,2947.3079999999995,facebook,cpc,leads_immobilier
L-2249,U-2249,2025-04-14,converted,proposal,2457.595,facebook,cpc,protection_habitation
L-2250,U-2250,2025-04-10,converted,contacted,300.496,google,cpc,pack_famille
L-2251,U-2251,2025-03-26,open,proposal,0.0,google,cpc,offre_hiver
L-2252,U-2252,2025-04-13,converted,won,368.47999999999996,google,cpc,rentrée_assurance
L-2253,U-2253,2025-03-23,converted,won,2779.441,google,cpc,promo_printemps
L-2254,U-2254,2025-03-26,open,proposal,0.0,google,cpc,offre_hiver
L-2255,U-2255,2025-04-07,converted,won,3167.4579999999996,google,cpc,pack_famille
L-2256,U-2256,2025-04-12,converted,won,3467.3799999999997,google,cpc,promo_printemps
L-2257,U-2257,2025-03-30,converted,contacted,2973.6,google,cpc,promo_printemps
L-2258,U-2258,2025-03-23,converted,contacted,1142.253,facebook,cpc,auto_responsable
L-2259,U-2259,2025-03-30,converted,won,2134.657,facebook,cpc,assurance_santé
L-2260,U-2260,2025-04-02,converted,won,1826.5939999999998,google,cpc,leads_auto
L-2261,U-2261,2025-03-29,converted,proposal,1593.1999999999998,facebook,cpc,protection_habitation
L-2262,U-2262,2025-04-15,open,proposal,0.0,facebook,cpc,assurance_santé
L-2263,U-2263,2025-04-01,converted,proposal,1451.646,facebook,cpc,auto_responsable
L-2264,U-2264,2025-03-23,converted,proposal,1064.3709999999999,facebook,cpc,protection_habitation
L-2265,U-2265,2025-04-04,lost,lost,0.0,google,cpc,offre_hiver
L-2266,U-2266,2025-03-19,open,lost,0.0,google,cpc,rentrée_assurance
L-2267,U-2267,2025-04-01,converted,won,1427.51,google,cpc,rentrée_assurance
L-2268,U-2268,2025-03-17,converted,won,2950.2200000000003,google,cpc,promo_printemps
L-2269,U-2269,2025-04-11,lost,won,0.0,google,cpc,promo_printemps
L-2270,U-2270,2025-03-20,open,proposal,0.0,google,cpc,promo_printemps
L-2271,U-2271,2025-04-01,converted,won,684.453,facebook,cpc,auto_responsable
L-2272,U-2272,2025-04-14,converted,lost,1646.9669999999999,google,cpc,rentrée_assurance
L-2273,U-2273,2025-04-11,converted,lost,234.21299999999997,facebook,cpc,auto_responsable
L-2274,U-2274,2025-04-05,lost,proposal,0.0,google,cpc,leads_auto
L-2275,U-2275,2025-04-05,open,lost,0.0,facebook,cpc,pack_jeunes
L-2276,U-2276,2025-04-02,open,won,0.0,google,cpc,pack_famille
L-2277,U-2277,2025-03-20,converted,proposal,2699.907,google,cpc,leads_auto
L-2278,U-2278,2025-03-28,open,lost,0.0,facebook,cpc,pack_jeunes
L-2279,U-2279,2025-04-02,open,proposal,0.0,facebook,cpc,protection_habitation
L-2280,U-2280,2025-03-21,open,contacted,0.0,google,cpc,pack_famille
L-2281,U-2281,2025-03-22,converted,proposal,1979.8029999999999,email,email,assurance_sante
L-2282,U-2282,2025-04-05,converted,contacted,3366.3559999999998,google,cpc,leads_auto
L-2283,U-2283,2025-04-14,lost,contacted,0.0,google,cpc,offre_hiver
L-2284,U-2284,2025-04-11,converted,proposal,2020.5289999999998,google,cpc,rentrée_assurance
L-2285,U-2285,2025-03-22,converted,lost,2384.2419999999997,facebook,cpc,protection_habitation
L-2286,U-2286,2025-04-10,lost,proposal,0.0,email,email,assurance_sante
L-2287,U-2287,2025-04-16,converted,lost,2111.9979999999996,email,email,assurance_sante
L-2288,U-2288,2025-04-08,converted,won,1881.089,google,cpc,promo_printemps
L-2289,U-2289,2025-03-18,converted,contacted,3171.1609999999996,facebook,cpc,auto_responsable
L-2290,U-2290,2025-03-17,lost,proposal,0.0,google,cpc,promo_printemps
L-2291,U-2291,2025-04-10,converted,contacted,988.2389999999999,facebook,cpc,leads_immobilier
L-2292,U-2292,2025-04-15,converted,proposal,2434.25,facebook,cpc,protection_habitation
L-2293,U-2293,2025-04-14,converted,contacted,352.303,facebook,cpc,pack_jeunes
L-2294,U-2294,2025-03-24,converted,proposal,3406.41,google,cpc,offre_hiver
L-2295,U-2295,2025-03-26,open,proposal,0.0,facebook,cpc,assurance_santé
L-2296,U-2296,2025-04-04,open,proposal,0.0,facebook,cpc,pack_jeunes
L-2297,U-2297,2025-03-26,open,proposal,0.0,google,cpc,leads_auto
L-2298,U-2298,2025-03-31,converted,lost,1365.8819999999998,email,email,assurance_sante
L-2299,U-2299,2025-04-10,converted,contacted,342.524,facebook,cpc,protection_habitation
L-2300,U-2300,2025-04-10,converted,contacted,1634.4509999999998,email,email,assurance_sante
L-2301,U-2301,2025-03-24,lost,contacted,0.0,google,cpc,pack_famille
L-2302,U-2302,2025-04-07,converted,won,2589.027,google,cpc,leads_auto
L-2303,U-2303,2025-03-25,open,won,0.0,google,cpc,leads_auto
L-2304,U-2304,2025-03-23,converted,lost,2015.9789999999998,facebook,cpc,auto_responsable
L-2305,U-2305,2025-04-09,open,proposal,0.0,email,email,assurance_sante
L-2306,U-2306,2025-03-30,open,proposal,0.0,google,cpc,promo_printemps
L-2307,U-2307,2025-04-05,open,proposal,0.0,google,cpc,pack_famille
L-2308,U-2308,2025-04-02,open,proposal,0.0,google,cpc,promo_printemps
L-2309,U-2309,2025-03-22,lost,lost,0.0,google,cpc,offre_hiver
L-2310,U-2310,2025-04-01,lost,lost,0.0,google,cpc,offre_hiver
L-2311,U-2311,2025-03-21,lost,contacted,0.0,facebook,cpc,auto_responsable
L-2312,U-2312,2025-04-11,lost,lost,0.0,email,email,assurance_sante
L-2313,U-2313,2025-03-23,open,won,0.0,google,cpc,promo_printemps
L-2314,U-2314,2025-03-26,open,contacted,0.0,facebook,cpc,leads_immobilier
L-2315,U-2315,2025-03-20,lost,won,0.0,facebook,cpc,pack_jeunes
L-2316,U-2316,2025-03-18,converted,contacted,3380.881,facebook,cpc,assurance_santé
L-2317,U-2317,2025-03-26,converted,lost,215.57199999999997,facebook,cpc,protection_habitation
L-2318,U-2318,2025-03-28,lost,proposal,0.0,google,cpc,rentrée_assurance
L-2319,U-2319,2025-03-24,converted,won,3064.495,google,cpc,pack_famille
L-2320,U-2320,2025-04-07,lost,lost,0.0,facebook,cpc,protection_habitation
L-2321,U-2321,2025-03-27,lost,won,0.0,google,cpc,promo_printemps
L-2322,U-2322,2025-03-28,converted,proposal,1450.533,google,cpc,promo_printemps
L-2323,U-2323,2025-03-30,lost,proposal,0.0,facebook,cpc,assurance_santé
L-2324,U-2324,2025-04-15,open,proposal,0.0,facebook,cpc,pack_jeunes
L-2325,U-2325,2025-03-30,lost,contacted,0.0,google,cpc,rentrée_assurance
L-2326,U-2326,2025-04-03,open,won,0.0,facebook,cpc,protection_habitation
L-2327,U-2327,2025-04-11,converted,contacted,1917.8949999999998,facebook,cpc,pack_jeunes
L-2328,U-2328,2025-03-25,open,won,0.0,google,cpc,leads_auto
L-2329,U-2329,2025-04-11,converted,won,670.2009999999999,facebook,cpc,assurance_santé
L-2330,U-2330,2025-04-03,converted,lost,909.3209999999999,email,email,assurance_sante
